年月,2016/10/31,2016/9/30,2016/8/31,2016/7/29,2016/6/30,2016/5/31,2016/4/29,2016/3/31,2016/2/26,2016/1/30,2015/12/31,2015/11/30,2015/10/30,2015/9/30,2015/8/31,2015/7/31,2015/6/30,2015/5/29,2015/4/30,2015/3/31,2015/2/26,2015/1/30,2014/12/31,2014/11/28,2014/10/31,2014/9/30,2014/8/29,2014/7/31,2014/6/30,2014/5/30,2014/4/30,2014/3/31,2014/2/27,2014/1/27,2013/12/31,2013/11/29,2013/10/31,2013/9/30,2013/8/30,2013/7/31,2013/6/28,2013/5/31,2013/4/30,2013/3/29,2013/2/27,2013/1/31,2012/12/28,2012/11/30,2012/10/31,2012/9/28,2012/8/31,2012/7/31,2012/6/29,2012/5/31,2012/4/30,2012/3/30,2012/2/29,2012/1/31,2011/12/30,2011/11/30,2011/10/31,2011/9/30,2011/8/31,2011/7/29,2011/6/30,2011/5/31,2011/4/29,2011/3/31,2011/2/25,2011/1/28,2010/12/31,2010/11/30,2010/10/29,2010/9/30,2010/8/31,2010/7/30,2010/6/30,2010/5/31,2010/4/30,2010/3/31,2010/2/26,2010/1/29,2009/12/31,2009/11/30,2009/10/30,2009/9/30,2009/8/31,2009/7/31,2009/6/30,2009/5/27,2009/4/30,2009/3/31,2009/2/27,2009/1/21,2008/12/31,2008/11/28,2008/10/31,2008/9/30,2008/8/29,2008/7/31,2008/6/30,2008/5/30,2008/4/30,2008/3/31,2008/2/29,2008/1/31,2007/12/31,2007/11/30,2007/10/31,2007/9/29,2007/8/31,2007/7/31,2007/6/29,2007/5/31,2007/4/30,2007/3/30,2007/2/27,2007/1/31,2006/12/29,2006/11/30,2006/10/31,2006/9/29,2006/8/31,2006/7/31,2006/6/30,2006/5/30,2006/4/28,2006/3/31,2006/2/27,2006/1/25,2005/12/30,2005/11/30,2005/10/31,2005/9/30,2005/8/31,2005/7/29,2005/6/30,2005/5/31,2005/4/29,2005/3/31,2005/2/25,2005/1/31,2004/12/31,2004/11/30,2004/10/29,2004/9/30,2004/8/31,2004/7/30,2004/6/30,2004/5/31,2004/4/30,2004/3/31,2004/2/27,2004/1/30,2003/12/31,2003/11/28,2003/10/31,2003/9/30,2003/8/29,2003/7/31,2003/6/30,2003/5/30,2003/4/30,2003/3/31,2003/2/27,2003/1/28,2002/12/31,2002/11/29,2002/10/31,2002/9/30,2002/8/30,2002/7/31,2002/6/28,2002/5/31,2002/4/30,2002/3/29,2002/2/27,2002/1/31,2001/12/31,2001/11/30,2001/10/31,2001/9/28,2001/8/31,2001/7/31,2001/6/29,2001/5/31,2001/4/30,2001/3/30,2001/2/27,2001/1/31,2000/12/30,2000/11/30,2000/10/31,2000/9/30,2000/8/31,2000/7/31,2000/6/30,2000/5/31,2000/4/29,2000/3/31,2000/2/29,2000/1/31
2889 國票金,-0.3736,0.6268,3.681,2.3838,-0.2505,0.1253,0.1255,7.9946,1.513,-5.4617,-0.2593,-3.8653,-0.3727,3.6038,-0.2077,-4.2625,-2.3622,-3.6837,6.7052,1.1698,2.1506,0.1197,-0.4762,-0.5917,-1.7443,-5.805,-0.697,1.6877,-0.3157,0.5284,0.5313,-4.8535,-0.8023,-0.2002,-1.0888,0,0,5.2082,0.1773,0.5001,-1.4778,-2.4038,2.4631,2.5251,-0.7022,-0.1002,11.5085,1.2446,-1.008,-0.7778,-4.9534,0.9951,2.1343,-1.2047,-1.872,-2.8709,7.621,-3.8614,3.4838,-12.072,11.3272,-11.4282,-6.1302,1.1627,-1.5267,-4.0293,-14.9533,1.2618,-5.6545,30.2326,25.8538,3.6401,4.7669,3.9669,0.1498,2.7113,1.0537,-5.5721,-0.4952,0.4976,-0.9854,-2.404,2.9703,0.4974,-1.9513,1.9901,-1.4706,8.8579,-6.2062,25.0311,10.3592,29.0552,10.6509,-0.5882,-1.9229,-1.887,-18.9602,-25.1179,6.0605,-6.3319,-3.6803,-13.9366,-7.9166,0.4185,3.9132,9.5238,5.5278,-7.0094,1.4218,3.4315,-5.2857,9.4339,5.9998,-1.9609,0.4925,-1.4563,1.4777,-5.5816,7.7154,0.4025,1.4286,5.3763,3.1638,-1.9607,-1.923,-5.0228,2.817,0.4717,-0.9345,-4.036,0.4506,-1.7698,-2.586,-0.4292,-0.3817,0.3832,-1.1366,4.3477,-10.9156,8.8123,0.7722,1.5685,1.1904,-1.9455,2.3904,5.021,3.4629,3.3433,-0.0002,-0.8195,-1.613,1.6393,19.0245,6.2175,1.5786,-4.0405,15.7891,-3.3899,6.6267,-2.9239,18.7499,10.7693,1.5623,-8.5714,-22.6519,24.8275,18.8524,7.0173,11.7648,-15.7026,-7.6336,-10.8843,-3.2896,-7.3172,-0.6062,8.5525,,,,,,,,,,,,,,,,,,,,,,,,,,
2890 永豐金,-1.5137,-0.3232,-1.4104,8.3071,-0.7307,0.2093,-3.9196,9.1008,-0.2188,-2.4548,-7.2277,-6.0467,3.3653,-7.143,-7.0564,-1.4651,-3.5335,1.7983,6.5134,1.5564,0,-1.1538,-0.0001,-1.5153,2.0215,-4.3955,6.6284,5.2046,1.1278,-1.1152,-8.1911,0.6872,3.1914,-5.0505,1.7122,0.6897,6.6176,1.8727,-2.3849,5.9649,-3.3897,0.0001,2.7876,6.2963,3.846,4.4176,2.0493,7.9647,-8.5021,3.7816,-5.2045,16.9931,0.9007,11.5577,-6.5729,-3.1818,18.9189,0.3254,8.9835,-13.6734,-1.0101,-10.8109,-6.0988,0.8065,-7.116,-1.8382,2.6414,8.1632,-13.1206,4.8326,21.1712,-3.896,-1.2819,4,4.6514,6.0216,5.7791,-9.8605,-4.8674,9.1787,-1.8957,-18.2171,12.6634,-6.9105,-6.8183,33.739,-8.6112,-6.087,12.7449,17.2415,28.889,15.5822,4.6595,-21.9581,4.9927,-2.5748,-19.7473,-21.1762,-9.0536,-6.6372,-4.7101,-8.3055,4.5138,5.4944,10.5262,1.6462,-8.6465,-11.3334,-1.9607,-2.2365,-6.2876,8.2866,9.0278,-0.3459,-4.9342,-8.4338,-0.3003,-4.5845,0.5763,3.2739,6.3293,9.7223,-9.7181,2.0228,3.4811,-10.7344,7.5988,-4.6377,3.6037,5.0473,3.9344,15.5301,-14.5633,-1.5923,0.3196,-1.5723,0.3144,-0.8876,-2.0288,-10.1565,4.3479,-1.6043,4.4692,-5.7895,6.7416,4.0937,9.6858,-4.5455,0.5715,1.156,-2.2597,-6.842,9.1955,1.1627,-7.0271,0.5435,16.4556,16.6051,12.9166,-0.0213,-0.3936,17.0508,-11.4285,-7.8948,-11.0368,2.7493,5.4349,-5.1547,1.7481,-4.6666,8.9965,0.0001,-8.1761,-4.2168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891 中信金,0.8792,-0.8175,4.2614,9.258,-1.462,4.2683,-3.5296,4.9383,0.6212,-4.7339,-1.1696,-4.2018,5.3099,-13.5204,-4.223,-5.7612,4.2918,-2.5104,14.9037,-0.4783,3.98,-2.1897,-2.3753,-1.1737,4.1566,-2.4982,3.0806,8.0348,4.1886,6.4066,-5.7741,-2.5575,-2.2501,-1.72,5.1679,-2.764,3.1089,2.3872,1.8661,10.7271,-3.1331,6.9834,0.8451,1.1395,5.2725,-1.4577,1.7805,4.6584,-9.0394,7.5843,-0.5554,8.3096,2.102,-10.7239,0.5392,-7.2501,5.7431,1.0581,14.1993,-17.0425,9.6155,-17.6779,-8.8459,6.8924,-1.9609,-2.857,5.0001,7.7587,-6.4516,15.8877,16.6212,-3.9266,-3.0457,9.7494,-0.5271,11.8225,6.6068,-6.4606,-1.1109,3.4483,-0.5716,-12.2807,7.2579,-6.9999,-4.0769,17.5578,-11.8071,5.705,-7.4764,41.2542,22.1773,16.4317,-2.7398,-21.2231,23.5558,19.1736,-44.7952,-9.6584,-8.5011,-23.1013,-5.4839,-2.3624,8.1771,3.8938,10.3515,11.063,-1.4958,-0.8476,-2.0748,-2.8225,-4.6153,1.5624,2.1957,-4.5717,1.5473,-1.711,-5.0541,1.6515,-1.2682,14.2858,-2.2266,14.6172,-5.3491,-3.1803,4.0697,-1.5265,13.6659,-15.5678,6.6405,-1.5384,-3.5249,3.4549,1.1762,-6.2294,-2.418,0.6971,-2.4046,-1.119,0.5625,-4.1779,3.9217,-5.8048,2.9891,-3.4121,4.0984,1.95,9.6245,-4.6008,3.3057,1.6805,-9.6204,-0.7538,3.6461,12.6099,2.0956,-5.3827,22.1452,3.9566,14.7137,-0.0652,4.4943,-1.8381,-1.0909,-1.4337,-8.8235,8.1273,10.547,-7.5814,13.0612,-8.2397,-8.2474,-1.356,-6.3494,3.6184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892 第一金,-0.6006,2.1472,1.6182,4.7337,2.4241,4.4305,-0.6288,2.5806,1.6394,-0.3267,0.658,-3.492,5.0002,-4.7618,-7.353,1.0007,0.0003,-2.0726,3.7634,0.2698,0.5422,-1.0723,-0.7978,0.5347,1.9074,-0.8109,-0.7841,6.5102,3.2259,5.085,-2.21,0.2769,-0.2763,-2.426,3.3426,-1.3734,2.8248,2.3121,1.4618,4.7886,-2.2039,0,-3.2002,-0.7936,5.0002,1.6949,-0.2818,6.9278,-8.5399,4.611,2.6703,5.4755,-0.5729,-0.2858,-1.4086,-5.8357,3.8566,2.2537,3.1978,-14.6401,1.7678,-11.2107,-6.6946,9.1574,-3.6511,-7.1561,5.357,4.348,-9.5506,-0.5588,31.6178,0.9901,-2.4154,11.8919,3.2494,5.602,7.2073,-4.0347,-0.573,1.1595,-3.6314,-9.8236,4.1994,-0.781,-4.2394,12.3249,-11.6336,8.2802,-10.2974,24.857,11.8211,11.3878,-0.3546,-18.2609,13.1148,-1.9294,-20.0514,-18.9583,0.2056,-22.2221,-7.6281,-2.5677,16.1695,12.5441,8.8463,8.5595,-1.6428,-8.4587,13.1914,3.0703,-0.5352,4.2734,6.6059,-4.5653,-0.8619,-4.132,0.8332,-3.0302,2.4845,5.9213,1.3332,6.6351,-2.5406,-4.2858,3.5941,-6.7061,9.2673,-7.7535,7.9399,-0.851,0.4275,4,-7.5976,1.4581,-2.7283,1.7175,2.5441,6.0166,-6.0428,-4.6469,0.7491,-1.8383,2.2558,-1.1152,6.3241,6.751,5.3334,-7.7868,-0.0002,0.4115,-6.1776,-6.1595,7.8123,8.0171,7.7273,-3.509,16.923,-3.4654,3.59,-8.8786,3.8835,3.0002,-5.2133,-2.7649,-22.5,21.7389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901 欣欣,-3.4157,5.4,-2.7705,2.7452,-3.9548,3.3077,-2.4666,0.3808,1.9417,-6.3638,4.1668,-2.9415,0.7408,0.5099,-6.5069,2.8168,-7.0377,-4.2319,3.9088,-1.2859,-1.2698,-2.4767,1.5722,-1.2424,-5.7102,-2.9829,-8.0938,7.8911,4.5187,-2.9704,-4.2007,-2.1221,0.2661,-1.8277,-1.7948,-3.2258,5.6357,-0.131,-0.1308,-2.0942,-4.9338,14.4627,-6.684,1.8325,-0.3911,-5.4252,-3.4521,0.2387,-3.8993,61.4814,3.0535,3.7155,2.1912,-0.3969,-3.2632,-0.762,4.5815,-8.5609,17.0577,-9.8076,6.7761,-3.373,-6.4937,4.6992,-1.3282,2.33,1.3781,-7.6365,-3.6779,-3.8719,4.3936,0.176,-2.906,4.0924,-2.4304,16.5982,6.383,-4.277,-3.3465,9.9569,-5.5215,-2.0039,4.3933,-1.6462,-9.4971,9.592,-9.2592,4.7175,3.1681,32.5458,10.4346,7.1427,-1.227,-5.2325,2.381,1.818,-11.9999,-15.5547,-2.6086,-9.6266,-19.9685,-5.4978,16.0343,8.6144,16.5939,5.0458,-3.9648,-7.347,-7.1969,-0.189,-14.6775,9.5406,1.2524,-3.9519,6.7888,-3.0249,17.0833,-9.6045,15.4349,7.4767,26.6271,10.0796,-0.6391,-9.0116,-2.8249,0.2833,29.7792,0.369,-3.9006,2.9196,2.239,3.4751,-6.1594,1.4706,-7.7921,1.701,1.7304,10.3055,-6.4285,1.8183,-2.8268,-5.3511,5.2819,-9.5539,-3.0862,-9.9999,13.2075,-1.8518,-4.1421,-3.4288,-4.3714,-4.1885,-14.732,20.4303,3.3333,-12.195,16.4772,-7.8534,6.1112,4.0464,-0.0001,-4.9451,-2.1505,-5.5837,1.5463,-0.5129,14.7059,3.03,1.8519,-6.27,-1.13,-6.842,-3.5532,-14.7186,22.2222,14.5453,-4.6243,6.7902,24.6154,-1.5152,6.8826,-16.153,9.963,-12.5808,-8.2839,-14.6464,-2.4633,-13.2478,16.9999,41.8437,1.0752,-14.9392,-16.7035,1.4494,-11.1588,28.0218,-18.018,-7.4999,-6.9771,-6.182,-5.1724,30.6304
2903 遠百,-0.8878,1.1976,-3.2643,5.1872,4.2042,-3.757,2.3669,-2.3119,2.9763,-7.9453,1.3888,-8.6294,12.5714,11.821,-7.075,-7.2727,-14.8229,-8.3164,-6.8053,-2.037,-0.0002,-4.2553,5.4205,-2.5501,-6.4737,-2.4915,4.1423,9.091,0.7182,-0.8896,4.6556,-2.8933,0.0003,-6.271,-2.3177,-4.4305,1.6077,6.7697,7.5175,0.1751,0.3516,9.0038,-2.4297,-4.6346,-4.1025,-2.985,-0.1656,9.8179,-13.1122,7.4703,-0.4277,13.6201,0.3598,-11.746,-16.5563,-6.9051,1.629,11.7648,-5.1795,-18.8577,15.4228,-25.4175,-7.4031,9.2172,5.5044,7.7074,8.9343,3.7989,-13.7766,6.4618,16.2099,10.3947,-3.3079,23.9752,5.8524,18.5254,-1.4899,-5.1236,7.6044,14.597,-25.0001,-16.6212,7.7828,0,6.74,11.15,-9.8012,2.6357,-2.7148,59.7594,17.898,28.0003,-8.9404,-18.8172,11.3772,13.2205,-28.0487,-12.0173,-13.7037,-8.6309,-29.3216,-10.742,1.5874,-13.1036,30.3372,13.3758,2.2134,-2.785,6.0402,13.0501,11.6385,23.0765,14.4467,5.476,-4.762,-6.1702,15.7635,-2.4038,18.1821,4.4511,6.3093,0.3164,2.864,-6.0001,5.1049,-9.5109,21.8541,-8.485,-6.5157,-9.4873,2.6315,14.114,-4.8573,-10.7143,1.2753,10.0001,10.145,16.1618,-8.0496,-7.184,-0.5714,-3.8463,0.5525,14.5569,-8.6706,3.5928,7.7419,8.9745,4.7102,-8.0001,-6.8323,-11.0497,5.2325,37.0514,-8.7272,3.3837,45.3551,-1.081,-1.0697,16.8749,11.8883,15.3222,-20.5127,-4.8779,-24.7705,45.3332,-1.3156,16.923,21.4953,-21.3235,-6.8494,-9.2168,-1.1974,-4.023,20.8333,12.5,-7.2464,4.5455,14.7826,-4.9588,-6.9231,-7.8015,10.1562,-15.1641,-9.7298,-6.5655,-12,-3.846,0.4291,15.9203,-2.4272,-9.6491,-10.9376,-17.9489,-7.6921,14.0234,-1.7857,9.0909,-18.5183,2.162,11.4459,22.0589
2904 匯僑,-0.7812,-0.3891,-1.3436,2.5036,-0.7258,0,-1.6071,1.0831,7.3644,0.1942,0.1944,-0.5802,1.7717,1.1951,-2.9013,-0.4126,-0.8865,1.4387,0.361,-0.8943,3.9033,1.5094,1.7274,-1.1383,-2.2263,2.2772,1.5413,-0.7871,8.4111,0.5638,0.3773,-0.9346,0.1875,1.9083,-0.5694,4.5634,0.5988,3.7267,-11.1539,6.2167,-0.8804,10.0778,-2.0872,6.0364,-0.9961,3.9339,1.899,-11.8959,-4.7788,3.1022,-1.5444,5.98,-0.3311,14.3939,-1.1235,7.661,20.9755,11.7167,0.8243,-7.379,8.5635,-14.2181,1.4424,8.0593,-0.9734,36.0926,-10.1191,23.5297,-0.7299,-1.7918,1.825,-1.4389,-0.3585,8.9844,0,7.9836,-2.3165,-10.6895,-5.2287,10.072,2.9629,2.2728,9.0908,-6.2018,-2.2725,12.8206,50.1974,5.7545,-7.6742,17.4756,31.5693,9.6001,-5.6603,5.3678,13.5439,-2.6374,-24.0399,-3.8523,-12.2536,-17.9736,-9.2211,11.2884,8.2716,-4.706,2.6571,42.2682,-28.8508,-6.5142,-5.3028,12.0001,-7.7476,-1.8809,33.4726,-4.7809,-7.0372,14.8937,-7.1146,-5.597,35.3539,-1.9801,19.5266,-19.1389,-5.4298,-10.8871,5.983,49.0446,6.8027,-0.6757,7.2466,-23.3333,-10,0.0001,-4.7618,-9.4829,-7.2,9.6491,23.2431,-35.0877,-10.9375,-13.5134,-5.3708,-2.0051,6.4,-8.3131,31.9356,-12.1813,-12.1891,5.2354,-18.7234,-3.0927,-16.3793,-4.9181,8.9284,26.1262,36.6158,-6.0695,10.8974,9.0907,-25.9069,-3.4999,-8.2568,11.2245,-19.9998,-10.9091,-24.6577,33.945,-4.3858,10.6797,-16.2604,-12.7659,-23.3696,-27.2726,45.4023,-19.8157,-15.2343,-7.9137,39.0001,-2.9125,51.4704,1.4924,-0.7408,7.1428,10.5263,-17.3913,-20.2313,-17.2248,0,37.4999,13.433,5.512,-2.3077,-5.1097,-13.2911,-22.549,-30.8474,-1.6669,5.6338,-16.4706,6.9183,-9.6588,-15.3844,7.7719
2905 三商,2.1053,-1.2989,8.6572,3.7939,-1.6,0.2673,-9.8798,4.0099,2.0461,-7.1258,-4.1004,2.8105,0.9454,16.8512,0.0652,5.042,-10.9726,-6.0889,-7.9741,9.9525,2.9267,1.737,8.3334,5.6819,-6.1333,-3.0917,-0.0002,0.5011,4.7244,-4.7499,1.0101,-1.2469,0,-4.9764,-4.525,0,0.9132,8.9551,-6.1083,2.1186,-3.6734,5.6034,-4.1321,-9.3634,-2.909,3.3834,-2.564,9.2,-13.1945,5.1094,9.5997,18.8341,0.2255,-9.2023,-21.0016,-8.9706,8.2799,9.0276,0.6995,-11.4551,12.937,-10.4849,-11.9941,42.5455,10.4421,6.8669,8.3722,0,-5.908,-7.1137,8.6093,6.0888,-0.6977,8.3122,13.9786,14.7236,6.5362,-4.9688,-4.451,9.772,-0.3244,-10.9826,10.543,12.5898,3.7315,9.8362,-14.0845,-3.0716,-6.3896,24.2063,29.4967,13.008,-2.7119,-12.3762,4.1237,18.7269,-3.6555,-34.7691,1.5624,4.9111,-27.7777,-22.078,-6.4777,10.7623,27.4285,-6.9147,-8.7379,-14.8761,2.9788,-1.0526,-6.8628,49.4802,24.911,4.074,9.3117,-3.5157,8.0168,-9.5419,30.3484,10.3186,18.6198,6.6667,-9.32,-4.7962,-7.3332,27.1185,12.7388,-5.2792,-2.2123,-7.6294,1.1019,3.7144,0.4305,-0.4286,-19.0753,-7.775,20.3263,-0.3749,-17.6106,-7.0813,-8.3334,-1.7242,8.9203,-11.2497,-6.2501,17.4313,4.3062,-0.5339,-8.642,-12.5901,-11.465,-5.9879,15.9719,28.5716,0.901,-9.3878,41.6187,-2.2599,-5.851,-0.0729,15.1517,17.0213,-16.0713,-11.579,-23.3871,3.805,5.5555,1.4084,-5.9603,-10.1189,-4.0002,-2.7777,-0.5525,-14.2179,-4.5252,9.9501,-12.6088,0.0001,24.3243,2.7779,4.6513,-6.5218,22.6667,-25.3731,-0.9853,-6.881,-11.7408,12.7853,18.3785,14.9069,6.6225,-1.9481,-10.9826,-22.4213,-10.0808,12.2873,-16.0002,1.0098,-11.3435,0,-1.4706,10.0324
2906 高林,-1.8433,-0.4585,-3.5397,0.7803,1.7392,-3.3614,0,-2.459,7.9646,-6.6114,4.3104,-6.8273,2.0491,0,-2.4001,-7.6845,-1.0275,-2.0133,-0.9966,3.7931,2.1126,-0.3511,2.8879,3.7454,-1.8381,14.2859,5.7779,6.4516,-1.3158,1.3334,0.8966,2.7649,-0.4585,-5.2177,1.7699,3.1965,1.3889,0.0001,-2.2625,0.8191,-2.5316,4.4052,-0.4385,-0.0001,-0.4367,2.6906,4.2056,-4.8889,-8.9067,-1.5935,2.0326,-3.8727,-1.4036,-1.7241,-5.2289,3.0304,8,3.3836,1.5268,-12.0806,8.7592,-16.4633,9.5418,11.4188,1.4038,2.1505,2.5735,1.4925,-4.2856,1.083,5.7252,-5.0724,-3.8326,-0.6921,1.7607,7.1698,-5.3051,-5.4487,26.3156,12.7852,-0.4545,0.0001,24.4346,3.2709,1.9047,-0.5917,1.1977,3.9851,-11.3686,12.407,8.6251,9.1177,-2.7183,-2.2377,-10.5134,11.5487,-11.8994,-12.6,-6.1033,-5.2248,-7.6922,1.1672,6.6389,0.8368,6.6964,-5.0849,-1.6666,-4.3825,5.0208,-3.2388,-0.8031,7.3342,16.0378,1.923,4.1041,-2.5365,-0.0001,-6.8181,8.9111,1.4057,2.8925,2.1097,2.3757,-2.0935,0.4927,-3.3333,4.4777,0.5,0,-0.9902,1.8145,5.5319,-1.6737,-4.3999,0,0.6148,4.2858,0.9616,-2.8037,-2.283,-1.7938,2.2936,4.3063,0,0.4807,-0.4784,2.4509,-2.1158,2.6905,1.3634,-7.5628,-7.7521,20.0001,11.9792,1.0528,0.529,5,0,-0.5526,4.6242,-0.5965,8.5715,-3.846,-2.1505,-8.8236,13.3332,1.695,2.3123,11.6132,-9.3567,0.5883,-2.2751,1.0637,-2.0833,13.6094,15.7534,-5.1949,2.6666,18.1101,3.2521,2.4999,-3.9999,5.0419,-9.2682,6.154,-4.4118,0.7408,-6.8965,9.0224,24.2988,-0.926,-18.182,0,-6.3831,-9.6154,-2.3127,-3.7836,-13.5514,-5.3099,-3.4189,-5.6451,31.915
2908 特力,1.039,0.2607,-2.2899,2.9879,3.0929,-0.7671,-1.2626,-1.7371,0.499,-4.0672,6.9054,-3.9311,1.4962,3.0849,-6.0387,3.0482,-0.4693,1.6706,0.9641,-0.2405,-0.24,-1.1849,-1.1709,6.2188,2.0304,0.2543,-5.7552,0.1537,0.4607,0.231,-2.0363,-2.6431,0.8888,1.3513,-1.3334,-1.5319,2.2369,-1.7584,-5.2084,6.2866,3.9561,2.018,1.8266,0,-0.9052,0,1.1441,0.9237,2.8505,-2.9953,4.7697,9.0626,2.5192,-0.2513,-2.2112,-1.9278,-3.2635,3.1249,2.9704,-8.39,0.2273,-4.3479,-10.7465,15.2174,0.4367,-0.0001,1.5521,7.6373,-3.899,-5.2174,1.3217,-5.4167,-3.4202,13.9909,18.4781,1.4566,1.939,-2.9571,-1.0639,4.4443,2.2727,-1.6758,16.2338,4.0542,1.7183,-3.642,0.4326,2.6314,-5.59,-3.0122,10.2988,-1.6337,-0.0001,1.3244,7.857,-8.795,-11.5276,-3.6112,6.7145,-1.6394,-5.9126,-2.5062,0.2513,1.2721,-0.5063,2.5975,1.4033,-3.7314,-5.5295,-4.7416,-7.0139,17.4117,13.0318,0.2667,1.0781,-1.8518,-1.3055,0.5249,9.4829,1.1631,-2.8247,-6.8419,-0.2478,-0.7061,-10.9015,-0.2092,8.3899,-1.5628,-2.3964,-4.3748,9.0909,-12,-2.724,16.5532,5.1769,2.8889,13.0652,-5.2382,-4.1095,9.5001,-0.4973,0.5,3.6269,3.7635,-4.1235,5.435,7.6031,5.9523,-6.1453,-4.7873,-6,-6.9766,2.3809,-0.474,9.3266,15.5688,5.0315,-1.5128,6.509,-23.874,-8.6419,11.9814,-12.1459,0,-5.7252,3.9683,-3.0768,1.5626,7.5628,-6.6667,4.9383,-5.272,0.3425,5.0359,6.1068,11.4896,-5.6225,5.0633,7.2396,26.2857,-9.3265,-11.468,-4.996,-12.01,3.8063,1.4037,1.7856,25.0002,23.0769,8.3333,15.8624,-0.6849,-13.0952,-7.1291,-21.4022,-1.4546,-12.9746,4.2908,-0.329,13.4327,-2.5455,32.2114
2910 統領,-5.6963,3.7201,-1.5086,2.2026,-2.1554,3.5714,-4.6808,0.4271,-1.2658,-10.5661,-13.1147,15.7493,5.3998,8.6955,-25.8064,6.5293,-14.3182,-19.9999,4.5673,12.7371,-3.2765,-1.6754,4.5822,4.5072,-15.3754,2.8186,-0.4879,-2.1477,31.5097,2.3659,-8.1159,8.6615,-1.3976,-16.3637,7.2424,12.5393,6.3334,3.4481,-1.8611,2.6042,0.6818,10.0373,-3.0631,-1.9435,-16.1481,-14.122,35.5173,10.2661,-9.4664,22.0589,3.7036,2.0147,1.9565,-2.1276,-4.4716,0.4081,-1.2097,-15.9323,17.5297,-0.9862,12.9175,-12.6458,-11.2263,11.9889,10.7882,0.6264,8.1263,-9.0351,-13.0358,-3.4483,4.1291,0.5416,-5.4609,18.1453,1.848,9.6848,3.256,-4.6563,-0.6609,10.7316,-10.8696,-3.3612,-3.2519,5.1283,1.5184,3.1321,-3.2468,6.177,-10.8055,3.8776,18.3574,-11.5386,13.5921,-34.6032,62.7905,17.629,-15.641,-13.7168,-9.2369,-8.9079,-11.25,-1.8405,0.6172,6.5792,4.2883,-8.0441,13.6202,-1.7606,9.2309,2.1612,-21.5716,4.7442,23.4617,1.5625,-2.4761,-6.4171,0.3578,-11.2699,20.2291,-0.3803,1.3486,4.2169,-2.353,-3.955,-7.3084,5.9649,5.7515,6.5217,-5.5971,-23.4286,24.1134,19.9999,-4.0816,-25.3048,-10.1369,47.4748,17.6161,9.4059,-7.5516,-0.6816,-3.0836,-26.7742,10.7143,32.7015,0.9572,3.4652,2.5381,-5.2884,-2.8038,-25.6944,19.5022,-0.4133,14.6919,-21.5613,43.8504,-8.3334,0.9902,0.9999,-6.542,11.1751,-14.4737,22.5807,-30.597,-4.9644,-14.0244,1.548,10.6163,32.7273,-9.4652,-3.5715,-8.3635,1.1029,-5.5816,-9.0909,-8.8397,0.8356,-13.7019,5.3166,8.5165,-2.1504,-4.6155,-0.0001,0.5154,-6.506,7.7573,-0.2526,15.7896,0,0,-9.5238,0,0.8001,-3.846,-5.7971,-0.241,-1.828,2.5918,0.0002,0.4339,1.3188,-1.0869,-1.0751
2911 麗嬰房,-5.303,0.3802,-2.952,2.2645,-3.6363,1.476,-13.141,-3.7037,3.8461,-14.2858,15.1898,-14.1305,50.8193,2.9534,-16.2544,-1.0493,-5.2981,-9.5807,0.3004,0.9094,-2.941,-3.9549,6.6265,-3.4884,-6.7749,2.216,-7.9083,5.3764,3.3332,-11.548,-7.5001,-5.1722,8.9202,-9.7457,1.7242,2.2028,9.1346,1.4632,17.3254,1.1174,-10.9452,-4.7393,-2.0883,-6.9113,-3.1381,8.884,4.2754,3.9506,-16.6665,2.9662,-5.1416,2.0914,-4.3637,-9.5394,-12.6439,-2.7934,-3.7635,21.5687,3.3784,-10.4385,18.459,-11.4288,-16.1384,2.2929,-3.3251,-11.1594,0.0002,15.4041,-11.804,-4.1938,6.7565,-0.1126,-6.8134,20.0002,15.1047,14.1554,5.6268,-13.6112,3.7462,14.9006,-6.7899,-8.9886,3.4883,4.7184,9.4999,14.0686,-7.4452,27.2351,-2.8283,19.8547,0.7319,29.747,-0.0001,-7.6022,6.8751,25.4902,-37.9563,-10.2621,13.9303,6.465,-23.0477,-2.7776,3.8465,13.7858,26.9444,-22.4137,4.9773,-19.4901,-9.406,-5.6078,-2.1342,23.3719,12.6555,-0.823,-4.7061,-7.9423,4.726,6.4385,7.8092,-4.3569,0.8368,5.2864,2.7192,-8.594,4.4899,11.1113,8.6209,0.9948,5.5118,-15.3333,7.3513,16.7108,-12.7315,-1.1441,42.8556,1.2579,-0.625,15.1079,6.1069,-7.4204,-3.7416,-1.6724,20.0803,1.6325,4.7008,9.3459,-0.0001,-10.0839,-10.8613,-0.0001,-8.5617,-7.0065,48.8149,16.5747,-4.2325,-0.0001,3.2788,-6.6326,-4.3901,36.6667,5.6337,18.3333,-14.8937,-10.1911,-16.0428,11.3095,-1.7544,13.2452,11.8518,-25.8243,-2.1504,-2.3847,-6.8492,-9.1286,-5.118,9.9569,-1.7021,0.4273,4.4643,5.6601,-8.6207,-12.782,-3.6233,-17.6704,28.4675,1.4816,2.2728,52.6012,8.1249,14.2857,12.9029,-24.3903,-7.8651,-5.3192,-16.0714,5.0002,-13.1782,-13.4229,-3.2468,9.2199,11.4625,22.2224
